    Xbj          Ratio            XS1            XS2      Ratio_Err        XS_Err1        XS_Err2
1.23960   1.377867e+00   9.905800e-05   5.391920e-05   6.670428e-02   2.467574e-06   2.238213e-06
1.25545   1.431543e+00   9.015460e-05   4.723290e-05   7.089504e-02   2.309644e-06   2.001839e-06
1.27117   1.353380e+00   7.648130e-05   4.238350e-05   7.138882e-02   2.154616e-06   1.890113e-06
1.28695   1.459705e+00   6.378150e-05   3.277110e-05   9.608122e-02   2.086452e-06   1.871823e-06
1.30269   1.484354e+00   5.403700e-05   2.730330e-05   1.063493e-01   1.940977e-06   1.692600e-06
1.31848   1.655717e+00   5.012430e-05   2.270510e-05   1.392567e-01   1.966271e-06   1.689219e-06
1.33422   1.463026e+00   4.770790e-05   2.445680e-05   1.148387e-01   1.940609e-06   1.641831e-06
1.34999   1.478388e+00   3.618740e-05   1.835820e-05   1.489858e-01   1.827713e-06   1.600938e-06
1.36580   1.620703e+00   3.028900e-05   1.401660e-05   2.070850e-01   1.801841e-06   1.585025e-06
1.38154   1.726533e+00   2.639110e-05   1.146420e-05   2.581385e-01   1.771888e-06   1.531502e-06
1.39729   1.578514e+00   2.506680e-05   1.191000e-05   2.497489e-01   1.864707e-06   1.663100e-06
1.41307   1.736009e+00   1.915170e-05   8.274020e-06   3.620118e-01   1.747725e-06   1.551404e-06
1.42885   1.846315e+00   1.920820e-05   7.802650e-06   4.043296e-01   1.826613e-06   1.539213e-06
1.34309   1.566796e+00   3.841220e-05   1.838730e-05   6.854072e-02   8.426600e-07   6.959170e-07
1.38232   1.602036e+00   2.670700e-05   1.250300e-05   7.973487e-02   6.577854e-07   5.407497e-07
1.42163   1.702361e+00   1.923870e-05   8.475890e-06   9.937258e-02   5.341452e-07   4.352192e-07
1.46094   1.691714e+00   1.406520e-05   6.235630e-06   1.132468e-01   4.478092e-07   3.671919e-07
1.50029   1.592830e+00   9.573290e-06   4.507680e-06   1.278968e-01   3.750317e-07   3.159455e-07
1.53959   1.585652e+00   7.352520e-06   3.477680e-06   1.450167e-01   3.319516e-07   2.765966e-07
1.57889   1.949797e+00   5.715090e-06   2.198340e-06   2.390030e-01   3.021008e-07   2.431254e-07
1.61811   1.785309e+00   3.876310e-06   1.628420e-06   2.595653e-01   2.546604e-07   2.112061e-07
1.65745   1.652581e+00   2.942300e-06   1.335320e-06   2.553661e-01   2.208223e-07   1.803697e-07
1.69670   1.800778e+00   2.209410e-06   9.201900e-07   3.559915e-01   1.980608e-07   1.621320e-07
1.73593   2.056671e+00   1.697650e-06   6.190770e-07   5.164185e-01   1.767050e-07   1.414616e-07
1.77507   1.401155e+00   1.416060e-06   7.579780e-07   2.751997e-01   1.533196e-07   1.242106e-07
1.81438   1.448514e+00   1.034550e-06   5.356610e-07   3.578920e-01   1.365037e-07   1.118964e-07
1.85363   1.781825e+00   8.083310e-07   3.402400e-07   6.001942e-01   1.260115e-07   1.015950e-07
