    Xbj          Ratio            XS1            XS2      Ratio_Err        XS_Err1        XS_Err2
0.62458   8.715701e-01   2.204790e-02   6.324190e-03   9.430269e-03   7.212441e-05   6.522453e-05
0.63303   8.727678e-01   2.143790e-02   6.140780e-03   9.231968e-03   6.776906e-05   6.198749e-05
0.64150   8.676842e-01   2.063950e-02   5.946720e-03   8.905257e-03   6.408503e-05   5.817260e-05
0.65000   8.690522e-01   1.973110e-02   5.676040e-03   8.786543e-03   6.065024e-05   5.467105e-05
0.65848   8.631138e-01   1.907150e-02   5.524040e-03   8.667212e-03   5.808130e-05   5.285871e-05
0.66693   8.512385e-01   1.816560e-02   5.335050e-03   8.469669e-03   5.511025e-05   5.055509e-05
0.67540   8.851942e-01   1.737700e-02   4.907680e-03   8.973020e-03   5.284641e-05   4.745643e-05
0.68389   8.601565e-01   1.646780e-02   4.786280e-03   8.677880e-03   5.026944e-05   4.602401e-05
0.69239   8.626932e-01   1.572500e-02   4.556950e-03   8.850653e-03   4.873240e-05   4.456729e-05
0.70086   8.634414e-01   1.514490e-02   4.385040e-03   9.033821e-03   4.802539e-05   4.372082e-05
0.70934   8.517627e-01   1.434750e-02   4.211120e-03   9.233648e-03   4.705162e-05   4.351224e-05
0.71778   8.555214e-01   1.367640e-02   3.996510e-03   9.538430e-03   4.633674e-05   4.245093e-05
0.72628   8.741421e-01   1.314860e-02   3.760430e-03   1.012163e-02   4.592819e-05   4.151327e-05
0.73473   8.834932e-01   1.249330e-02   3.535200e-03   1.058376e-02   4.508782e-05   4.038224e-05
0.74323   8.666741e-01   1.160650e-02   3.348000e-03   1.074804e-02   4.320926e-05   3.960517e-05
0.75169   8.818842e-01   1.114430e-02   3.159230e-03   1.131925e-02   4.290477e-05   3.868256e-05
0.76014   9.149592e-01   1.077240e-02   2.943410e-03   1.230279e-02   4.269824e-05   3.781929e-05
0.76859   8.916590e-01   9.972600e-03   2.796080e-03   1.230749e-02   4.100693e-05   3.684171e-05
0.77709   9.005182e-01   9.481700e-03   2.632290e-03   1.291569e-02   4.023180e-05   3.606369e-05
