    Xbj          Ratio            XS1            XS2      Ratio_Err        XS_Err1        XS_Err2
1.23960   1.250722e+00   3.716820e-04   9.905800e-05   3.553080e-02   5.075875e-06   2.467574e-06
1.25545   1.217871e+00   3.293900e-04   9.015460e-05   3.590028e-02   4.803099e-06   2.309644e-06
1.27117   1.273967e+00   2.923040e-04   7.648130e-05   4.106430e-02   4.578474e-06   2.154616e-06
1.28695   1.297795e+00   2.483260e-04   6.378150e-05   4.813627e-02   4.341235e-06   2.086452e-06
1.30269   1.320706e+00   2.141010e-04   5.403700e-05   5.399729e-02   4.181243e-06   1.940977e-06
1.31848   1.212692e+00   1.823560e-04   5.012430e-05   5.452976e-02   4.008112e-06   1.966271e-06
1.33422   1.130029e+00   1.617340e-04   4.770790e-05   5.366849e-02   3.964877e-06   1.940609e-06
1.34999   1.279018e+00   1.388530e-04   3.618740e-05   7.358747e-02   3.826039e-06   1.827713e-06
1.36580   1.299845e+00   1.181130e-04   3.028900e-05   8.755313e-02   3.731426e-06   1.801841e-06
1.38154   1.315039e+00   1.041160e-04   2.639110e-05   9.999100e-02   3.715973e-06   1.771888e-06
1.39729   1.232713e+00   9.270050e-05   2.506680e-05   1.041176e-01   3.708085e-06   1.864707e-06
1.41307   1.355756e+00   7.789510e-05   1.915170e-05   1.389039e-01   3.627933e-06   1.747725e-06
1.42885   1.290164e+00   7.434520e-05   1.920820e-05   1.393614e-01   3.808920e-06   1.826613e-06
1.34309   1.261882e+00   1.454150e-04   3.841220e-05   3.523477e-02   2.512001e-06   8.426600e-07
1.38232   1.319329e+00   1.057060e-04   2.670700e-05   4.089326e-02   1.989123e-06   6.577854e-07
1.42163   1.235120e+00   7.128630e-05   1.923870e-05   4.364377e-02   1.558162e-06   5.341452e-07
1.46094   1.316099e+00   5.553360e-05   1.406520e-05   5.264169e-02   1.344552e-06   4.478092e-07
1.50029   1.396030e+00   4.009380e-05   9.573290e-06   6.766143e-02   1.144177e-06   3.750317e-07
1.53959   1.353545e+00   2.985590e-05   7.352520e-06   7.637464e-02   1.010485e-06   3.319516e-07
1.57889   1.207056e+00   2.069530e-05   5.715090e-06   8.095102e-02   8.541654e-07   3.021008e-07
1.61811   1.400550e+00   1.628690e-05   3.876310e-06   1.134204e-01   7.712091e-07   2.546604e-07
1.65745   1.266401e+00   1.117840e-05   2.942300e-06   1.202142e-01   6.497210e-07   2.208223e-07
1.69670   1.300270e+00   8.618490e-06   2.209410e-06   1.459665e-01   5.823643e-07   1.980608e-07
1.73593   1.344182e+00   6.845850e-06   1.697650e-06   1.736158e-01   5.235282e-07   1.767050e-07
1.77507   1.111464e+00   4.721700e-06   1.416060e-06   1.591184e-01   4.422363e-07   1.533196e-07
1.81438   1.310357e+00   4.066890e-06   1.034550e-06   2.194516e-01   4.194672e-07   1.365037e-07
1.85363   1.298329e+00   3.148440e-06   8.083310e-07   2.543755e-01   3.736537e-07   1.260115e-07
1.89277   1.830357e+00   2.815190e-06   5.126850e-07   4.470519e-01   3.575291e-07   1.069604e-07
1.93206   1.910520e+00   1.873750e-06   3.269180e-07   6.104023e-01   2.962661e-07   9.076159e-08
1.97111   1.446433e+00   1.291180e-06   2.975550e-07   5.086983e-01   2.484811e-07   8.759037e-08
2.04952   1.305822e+00   7.147300e-07   1.824470e-07   6.244445e-01   1.910152e-07   7.234899e-08
2.12798   8.416007e-01   5.413580e-07   2.144160e-07   3.819989e-01   1.711947e-07   6.981492e-08
